10	5.0496e-03	1.3919e-01	5.7234e-03
13.5	8.7080e-03	1.1643e-01	7.5606e-03
18	1.3430e-02	9.9155e-02	9.9280e-03
23.5	2.9325e-02	8.6276e-02	1.2834e-02
30.5	2.1520e-02	7.4827e-02	1.6544e-02
40	2.6605e-02	6.4972e-02	2.1591e-02
52.5	3.9626e-02	5.6584e-02	2.8250e-02
68.5	3.9820e-02	4.9513e-02	3.6721e-02
89.5	6.0241e-02	4.3516e-02	4.7775e-02
117	9.9878e-02	3.8669e-02	6.2081e-02
152.5	1.1375e-01	3.4993e-02	8.0185e-02
198	1.3429e-01	3.2630e-02	1.0271e-01
257.5	1.7920e-01	3.3977e-02	1.3093e-01
335.5	2.2076e-01	4.3272e-02	1.6575e-01
436.5	2.6166e-01	6.0483e-02	2.0728e-01
567.5	2.7879e-01	7.9377e-02	2.5553e-01
738	3.3226e-01	1.1034e-01	3.0982e-01
959.5	4.3979e-01	1.4774e-01	3.6810e-01
